name,popularity
Anisha Mandhara,0.6
Farah Karimi,0.98
Glenn Webster,0.6
Kadambari Kiran,0.6
Nina Kumar,0.728
Raja Chembolu,0.6
Ro Ashika,0.6
Seema Morar,0.6
Hyper Adhi,1.38
Nagarjuna Akkineni,0.84
Lakshmi,0.6
Devadarshini,0.6
Nishanthi Evani,0.6
Akshara Gowda,0.6
Dev Gill,0.727
Aakanksha Singh,0.6
Kunal Kapoor,0.6
Srinivas Avasarala,0.6
Prem Khan,0.6
Raghu Karumanchi,0.6
Aishwarya,1.382
Manobala,0.986
Sampoornesh Babu,0.6
Myra Sareen,0.6
Duvvasi Mohan,0.6
Anasuya Bharadwaj,0.6
Meera Chopra,1.38
Jenny,0.6
Veda,0.6
Nageshwara Rao Akkineni,0.6
Ram Charan,1.4
Priyanka Chopra,4.593
Sanjay Dutt,1.4
Mahie Gill,0.6
Kavita Kaushik,0.6
Sanjay Sharma,0.98
Madhavi Latha,0.611
Suthi Velu,0.622
Gundu Hanumantha Rao,0.6
Subhashini,0.6
Saranya Mohan,0.6
Vithika Sheru,0.98
Sidhu Jonnalagadda,0.6
Hariprriya,0.6
Naramalli Sivaprasad,0.6
Meghna Naidu,0.6
Siddhika Sharma,0.6
Akbar Bin Tabar,0.6
Ritu Varma,0.6
Rajesh Vivek,0.6
Sowcar Janaki,0.84
Swathi Reddy,1.38
Nivetha Thomas,1.467
Mounica,0.6
Sai Pallavi,0.6
Vijay Varma,0.6
Aamani,0.6
Shraddha Srinath,0.863
Harish Kalyan,1.666
Viswant Duddumpudi,1.38
Sanusha Santhosh,0.62
Shishir Sharma,0.6
Bhupal Raju,0.6
Kartikeya Gummakonda,0.6
Priyanka Arul Mohan,0.6
Swapna,0.6
Vishwak Sen,0.6
Ruhani Sharma,1.4
Bhanuchander,0.694
Mrudhula Basker,0.6
Raj Tarun,0.6
Sai Chand,0.631
Saranya Pradeep,0.6
Gayathri Gupta,0.6
Geeta Bhaskar,0.6
Mohan Bhagath,0.6
Praveena Paruchuri,0.6
Karthik Rathnam,0.6
Radha Bessy,0.6
Praneeta Patnaik,0.6
Nithya Sree,0.6
Kesava Karri,0.6
Sundeep Kishan,0.6
Shamna Kasim,1.4
Ashwin Babu,0.6
Chethan Cheenu,0.6
Eshanya Maheshwari,0.6
Gururaj Manepalli,0.6
Ramki,1.4
Laxman Meesala,2.562
Naveen Polishetty,0.6
Shruti Sharma,0.6
Krishneswara Rao,0.6
Shredha Rajagopalan,0.6
Darbha Appaji Ambarisha,0.6
Sobhita Dhulipala,0.692
Naga Shourya,1.4
Achyuth Kumar,0.6
Nikhil Siddharth,0.6
Raja Ravindra,0.652
Swaraj Rebbapragada,0.6
Pooja Ramachandran,0.6
Jogi Naidu,0.6
Jogi Krishnam Raju,0.6
Sharwanand,0.996
Surbhi,0.6
Urvashi,0.608
Ajay Ghosh,0.6
Sudheer Babu,0.6
Nandita Raj,0.6
Nara Rohith,0.6
Aathma Patrick,0.625
Shravya Reddy,0.6
P. Ravi Shankar,0.6
Taapsee Pannu,1.4
Aditya Pancholi,0.6
Srikanth Meka,0.6
Nandamuri Balakrishna,0.959
Vidya Balan,1.383
Kalyan Ram,0.84
Manjima Mohan,0.631
Sumanth,0.6
Mirchi Madhavi,0.6
Supriya Vinod,0.6
Sri Teja,0.6
Devayani,1.186
Namrata Shirodkar,0.6
Arbaaz Khan,0.6
Shriya Sharma,1.637
Sharada,0.6
Karishma Kotak,0.6
Sadha,0.6
Prabhu Deva,1.092
Yana Gupta,0.6
Sudeep,1.562
Vijay Sethupathi,1.441
Henry Maynard,0.6
Oscar Skagerberg,0.6
Mark Kitto,0.6
Ranadheer,0.6
Ajay Rathnam,0.84
Santhosh Adduri,0.6
Lakshmi Gopalaswamy,1.38
Niharika Konidela,0.6
Krishna Chaitanya,0.6
Ramakrishna Meka,0.6
Amitabh Bachchan,3.678
Sonal Chauhan,0.6
Vedhika,0.6
Vikramjeet Virk,0.6
Kyra Dutt,0.84
Musskan Sethi,0.6
Kabir Bedi,1.315
Temper Vamsi,0.6
Kellan Lutz,4.052
Liam McIntyre,1.492
Gaia Weiss,2.648
Scott Adkins,3.943
Roxanne McKee,3.038
Liam Garrigan,1.4
Rade Šerbedžija,1.976
Johnathon Schaech,3.494
Luke Newberry,0.6
Kenneth Cranham,1.914
Sarai Givaty,0.6
Dimiter Doichinov,0.848
Nikolai Sotirov,2.278
Radoslav Parvanov,1.094
Spencer Wilding,1.4
Bashar Rahal,2.277
Vlado Mihailov,0.946
Dimo Alexiev,0.988
Liubomir Simeonov,0.6
Flora Saini,1.4
Seerat Kapoor,1.4
Nihal Kodhaty,0.6
Vinay Varma,3.052
Priya Raman,0.972
Kalyani Priyadarshan,0.98
Madhav Vaze,0.6
Aadarsh Balakrishna,0.6
Gouri G Kishan,0.6
Sai Kiran Kumar,0.6
Varsha Bollamma,0.6
Sonam Bajwa,1.065
Milind Gunaji,1.048
Richa Gangopadhyay,0.6
Sarath Babu,0.6
Satya Prakash,1.401
Junior Relangi,0.6
Prasad Babu,0.6
Katrina Kaif,1.548
M. Balaiah,0.6
Chitra Shukla,1.6
Nandini Rai,0.6
Vimala Raman,0.62
Tanya Hope,0.6
Bobby Simha,0.6
Divyansha Kaushik,0.6
Rajshri Nair,0.6
Mahesh Vitta,0.6
Mani Kiran,0.6
Sai Teja Kalvakota,0.6
Ankith Koyya,0.6
Atharvaa Murali,1.132
Mirnalini Ravi,0.6
Supriya Pathak,1.4
Dimple Hayathi,0.6
Neha Solanki,0.6
Ajmal Ameer,0.6
Aashikka Meka,0.6
Kathi Mahesh,0.6
Dhananjay Prabhune,0.6
Arvind Rau,0.6
Dheeraj Kv,0.6
Gandham Ramu,0.6
Jaffar Babu,0.6
Srikanth Iyengar,0.6
Asha Sarath,1.38
Unni Mukundan,1.4
Thalaivasal Vijay,0.84
Freddy Daruwala,0.6
Sriranjini,0.98
Muthukumar,1.4
Girish,0.6
Bhaskarachari,0.6
Himansi,0.6
Rajeshwar Reddy,0.6
Shivapriya,0.6
Himaja,0.98
Allu Sirish,0.6
Rukshar Dhillon,0.6
Zareen Khan,1.4
Rajesh Khattar,0.6
Upen Patel,0.61
Mir Sarwar,0.828
Eesha Rebba,0.6
Sharath Lohitashwa,0.6
Dasari Arun,0.6
Rajveer Ankur Singh,0.6
Abhirami Gopikumar,0.84
Sijoy Varghese,0.6
Laya,0.6
Anisha Ambrose,0.631
Abhinav Gomatam,0.6
Sai Sushanth Reddy,0.6
Venkatesh Kakumanu,0.6
Simran Chowdary,0.6
Kay Kay Menon,0.6
Om Puri,1.619
Rahul Singh,1.008
Kausalya,1.96
Irshad Ali,1.38
Thakur Anoop Singh,1.22
Suresh,0.6
Bitthiri Satthi,0.6
Sonia Agarwal,1.112
Mouryani,0.6
Neha Sharma,0.6
Daniel Balaji,0.629
Siddharth,0.98
Sudeepa Pinky,0.6
Vajja Venkata Giridhar,1.281
Rallapalli Narasimha,0.6
Kriti Sanon,1.01
Chitram Basha,0.6
Nyra Banerjee,0.98
K R Vijaya,0.694
Tara Alisha Berry,0.974
Maryam Zakaria,0.6
Sana Khaan,0.6
Elango Kumaravel,0.766
Babloo Prithiveeraj,0.709
Sricharan,0.6
Rishi,0.6
Narayan Lucky,1.411
Chaams,0.6
Mohan Raman,0.6
Badava Gopi,0.84
Kim Sharma,0.6
Saloni Aswani,0.728
Preeti Nigam,0.6
Raghu Raju,0.6
Apoorva,0.6
Radhan,0.6
Kalyani Malik,0.6
M.M. Keeravaani,0.6
Mani Sharma,0.6
S. Thaman,0.6
Sharreth,0.6
Devi Sri Prasad,0.6
G. V. Prakash Kumar,0.6
Chakri,0.6
Suchitra,0.694
Karthik,0.6
Geetha Madhuri,0.6
K. G. Ranjith,0.6
Vedala Hemachandra,0.6
Maalavika,0.6
Anup Rubens,0.6
Yuvan Shankar Raja,0.6
