name,popularity
Ranvir Shorey,0.98
Roshan Seth,0.65
Rajendra Sethi,0.6
Ajay Devgn,1.642
Sharad Kelkar,0.683
Reyhna Malhotra,0.6
Luke Kenny,1.094
Shashank Shende,1.214
Devdatta Nage,0.6
Neha Sharma,0.6
Ajinkya Deo,1.38
Hardik Sangani,0.6
Jacqueline Fernandez,0.6
Mithun Chakraborty,1.62
Vipin Sharma,1.266
Rajit Kapoor,0.6
Sanjay Mishra,2.098
Sumona Chakravarti,2.503
Kavin Dave,0.6
Nargis Fakhri,1.38
Shivansh Kotia,0.6
Asin Thottumkal,1.382
Jiah Khan,0.6
Pradeep Ram Singh Rawat,0.6
Riyaz Khan,1.96
Khalid Siddiqui,0.98
Sunil Grover,0.608
Sai Tamhankar,1.38
Rajendran,0.828
Supreet,0.6
Sara Ali Khan,0.6
Siddhartha Jadhav,0.6
Ashwini Kalsekar,0.98
Vijay Patkar,0.608
Neha Mahajan,0.6
Arun Nalawade,1.38
Uday Tikekar,0.6
Ulka Gupta,0.6
Tusshar Kapoor,1.4
Shreyas Talpade,0.6
Arshad Warsi,0.917
Ronjini Chakraborty,0.6
Kishore Nandlaskar,0.6
Vaibhavi Solanki,0.6
Naushaad Abbas,0.6
Raj Babbar,2.621
Asrani,0.883
Vidya Sinha,0.6
Hazel Keech,0.6
Chetan Hansraj,0.6
Mohammad Faizan,0.6
Rajat Rawail,0.6
Aditya Pancholi,0.6
Vivek Oberoi,0.626
Priyanka Chopra,6.781
Kangana Ranaut,3.356
Asif Basra,0.98
Rajpal Yadav,2.029
Rakhee Tandon,0.84
Sameer Ali Khan,0.6
Gowhar Khan,0.6
Nazia Shaikh,0.6
Shaurya Chauhan,0.6
Danniel Kaleb,0.6
Sachin Khedekar,0.98
Naseeruddin Shah,1.684
Raju Kher,0.6
Vicky Kaushal,0.828
Yami Gautam,0.696
Kirti Kulhari,1.38
Mohit Raina,1.667
Manasi Parekh,0.6
Swaroop Sampat,0.6
Satyajit Sharma,0.6
Manish Chaudhary,0.6
Abrar Zahoor,0.6
Rakesh Bedi,0.6
Riva Arora,0.648
Dhairya Karwa,0.6
Bipasha Basu,0.768
Rimi Sen,1.96
Raveena Tandon,2.097
Gulshan Grover,1.435
Priya Tendulkar,0.6
Poonam Jhawer,0.6
Avtar Gill,0.6
Vishwajeet Pradhan,0.98
Razak Khan,0.6
Harish Patel,2.355
Tej Sapru,0.98
Sanjay Kapoor,0.786
Mukesh Khanna,0.694
Rita Bhaduri,0.648
Prakash Raj,0.949
Deepak Dobriyal,0.694
Sandeepa Dhar,1.4
Sadat Pervez,0.6
Rashami Desai,0.972
Nandish Singh,0.611
Manoj Joshi,0.638
Nitesh Pandey,0.98
Kalki Koechlin,1.708
Aditya Roy Kapur,1.235
Kunaal Roy Kapur,0.6
Evelyn Sharma,0.84
Farooq Shaikh,1.4
Tanvi Azmi,0.6
Poorna Jagannathan,1.879
Anisa Butt,0.6
Naveen Kaushik,0.98
Darshan Jariwala,0.84
Gurdeep Kohli,0.6
Yashpal Sharma,0.694
Jayant Gadekar,0.828
Paresh Ganatra,0.6
Anant Jog,0.6
Ashok Samarth,0.694
Shruti Bapna,0.6
Shakti Mohan,0.6
Maryam Zakaria,0.6
Mumaith Khan,1.38
Vijay,1.496
Prabhu Deva,0.6
Parineeti Chopra,1.286
Neil Nitin Mukesh,0.98
Nana Patekar,1.62
Sridevi,1.586
Juhi Chawla,1.562
Annu Kapoor,1.214
Vikas Anand,0.682
Manisha Koirala,1.976
Divya Dutta,1.4
Ravi Behl,0.6
Rekha,0.6
Hemant Pandey,1.38
Manini Mishra,0.6
Xia Bin,0.6
Preity Zinta,1.4
Akash Khurana,1.38
Kiran Juneja,0.6
Sudesh Lehri,0.6
Anuradha Patel,1.38
Prachee Pathak,0.6
Manoj Pahwa,0.98
Akhilendra Mishra,0.652
Gargi Patel,1.033
Arya Babbar,1.4
Eva Grover,0.6
Mithilesh Chaturvedi,0.6
Zareen Khan,0.6
Chunky Pandey,1.4
Urmila Matondkar,0.98
Rajesh Joshi,0.6
Suman,0.6
Rajeev Mehta,0.6
Himanshu,0.6
Arjun Rampal,0.712
Kirron Kher,0.709
Rishi Kapoor,1.068
Shawar Ali,0.694
Yuvika Chaudhary,0.6
Masood Akhtar,0.98
Dharmendra,1.614
Jeetendra,0.6
Sunil Dutt,0.6
Javed Sheikh,1.38
Feroz Khan,0.6
Koena Mitra,1.4
Shabana Azmi,0.865
Dia Mirza,0.692
Zayed Khan,0.84
Vidya Balan,1.686
Shilpa Shetty,0.84
Dino Morea,2.905
Amrita Arora,0.84
Aftab Shivdasani,1.03
Govinda,2.079
Bobby Deol,0.766
Lara Dutta,1.408
Ritesh Deshmukh,1.434
Ratna Pathak,0.648
Murali Sharma,1.4
Viju Khote,0.6
Prem Chopra,1.708
Harry Josh,0.6
Vinay Pathak,1.4
M. K. Raina,0.6
Manmeet Singh,0.6
Isha Koppikar,1.4
Richa Pallod,0.98
Aneesha Dalal,0.6
Bobby Bedii,0.6
Puneet Cheema,0.6
Alene D'Souza,0.6
Areesz Gandhi,0.6
Rajesh Jais,0.6
Vineet Kapoor,0.6
Armit Singh Kharbanda,0.6
Atul Agnihotri,0.6
Danny Denzongpa,0.873
Bindu,0.6
Ishrat Ali,1.4
Shafi Inamdar,1.094
Mahesh Anand,0.98
Sujit Kumar,0.98
Ghanshyam Nayak,0.6
Asha Sharma,0.6
Raj Dutt,0.6
Janardhan Parab,0.6
Maheshwari,0.6
K.K. Raj,0.6
Zubair Khan,0.6
Arun Mathur,0.6
Disha Patani,2.192
Manoj Bajpayee,1.684
Darshan Kumaar,0.6
Prateik Babbar,0.6
Aryan Prajapati,0.6
Swara Bhaskar,0.6
Eijaz Khan,0.6
Mohammed Zeeshan Ayyub,0.652
Rajendra Gupta,0.6
Navni Parihar,1.4
K.K. Raina,1.38
Manu Rishi Chadha,1.932
Adivi Sesh,1.96
Prabhakar,0.6
Rakesh Varre,0.6
Ramakrishna Meka,0.6
Charandeep,0.706
Scarlett Mellish Wilson,0.683
Nora Fatehi,3.063
Gabriela Bertante,0.6
John Kokken,0.98
Ayushmann Khurrana,0.694
Neena Gupta,1.4
Gajraj Rao,0.6
Surekha Sikri,0.6
Sheeba Chaddha,0.98
Alka Amin,0.694
Mink Brar,1.4
Malini Sharma,0.6
Shruti Ulfat,2.684
Anang Desai,0.98
Ali Asgar,0.828
Pratima Kazmi,1.691
Amrita Rao,1.4
Seema Biswas,1.4
Samir Soni,0.6
Jatin Sial,0.6
Dinesh Lamba,0.98
Amrutha Prakash,0.6
Lata Sabharwal,0.6
Ameya Pandya,0.6
Goolshan Mazdiasni,0.6
Shraddha Kapoor,0.84
Shaad Randhawa,0.6
Salil Acharya,1.4
Mohan Joshi,0.6
Deepak Shirke,0.6
Shweta Menon,1.4
Mahima Chaudhry,0.648
Apurva Agnihotri,0.6
Madhuri Bhatia,0.608
Smita Jaykar,0.951
Prachi Save,0.6
Ajay Nagrath,0.6
Samta Sagar,0.6
Rakesh Thareja,0.6
Pavan Malhotra,0.98
Twinkle Khanna,0.6
Shehzad Khan,0.6
Aanjjan Srivastav,0.98
Bharat Kapoor,0.98
Asha Sachdev,0.6
Tinu Verma,0.84
Vijay Kashyap,0.6
Suresh Bhagwat,0.6
Vivaan Shah,0.98
Sarah-Jane Dias,1.952
Mohan Kapur,0.6
Kavi Shastri,0.6
Daisy Irani,0.656
Kiku Sharda,0.6
Mukesh Rishi,1.571
Beena Banerjee,1.298
Hansika Motwani,0.996
Kriti Sanon,1.4
Pooja Hegde,2.059
Kriti Kharbanda,0.6
Jamie Lever,0.6
Parikshit Sahni,0.6
Prithvi Zutshi,0.6
Richa Ahuja,0.6
Veerendra Saxena,0.98
Sunil Shende,0.6
Suresh Malhotra,0.6
Ajay Manipal,0.6
Rajdev Jamdade,0.6
Dhananjay Mandrekar,0.98
Rajinikanth,1.294
Amy Jackson,1.38
Sudhanshu Pandey,0.766
Adil Hussain,0.6
Kalabhavan Shajon,1.1
Kaizaad Kotwal,0.6
Ananth Narayan Mahadevan,1.4
Mayilsamy,0.6
Sanchana Natarajan,0.6
Raveena Ravi,0.6
Pankaj Dheer,1.4
Salim Ghouse,0.6
Narendra Bedi,0.6
Sheetal Suvarna,0.6
Jeetu Verma,0.6
Diljit Dosanjh,0.6
Kiara Advani,0.6
Tisca Chopra,0.84
Anjana Sukhani,1.4
Hardy Sandhu,0.6
Arun Khedwal,0.6
Kashmira Shah,0.6
Adi Irani,0.84
Bijay Jasjit Anand,0.6
Taapsee Pannu,1.616
Nithya Menen,1.052
Daniel O'Kane,0.98
H. G. Dattatreya,0.6
Vikram Gokhale,0.716
Dhritiman Chatterjee,0.694
Monsoon Boruah,1.38
Anirban Bhattacharya,0.608
Kashmira Pardesi,0.6
Amole Gupte,0.6
Dayanand Shetty,0.6
Sameer Dharmadhikari,0.6
Zakir Hussain,0.6
Pankaj Tripathi,0.833
Govind Namdeo,0.694
Zarina Wahab,0.6
Madhurjeet Sarghi,0.6
Inaamulhaq,1.4
Chetan Pandit,0.6
Ravi Jhankal,1.423
Deven Bhojani,0.6
Rajesh Vivek,0.6
Rajendra Chawla,0.6
Anil Kapoor,2.629
Mallika Sherawat,0.853
Sherveer Vakil,0.6
Ruslaan Mumtaz,0.6
Kajal Agarwal,1.4
Sonali Kulkarni,0.608
Ankur Nayyar,0.6
John Abraham,1.444
Randhir Kapoor,0.6
Shazahn Padamsee,0.6
Kader Khan,0.84
Javed Khan,0.6
Anjala Zaveri,0.6
Kiran Kumar,0.732
Satish Kaushik,0.861
Sarah Thompson,1.5
Harish Kumar,0.6
Kanchan,0.6
Mahavir Shah,0.6
Shashi Kiran,0.6
Sharada,0.694
Aarti Chabria,0.6
Deepshika Nagpal,0.6
Suresh Menon,0.6
Rajat Bedi,0.6
Howard Rosemeyer,0.6
Jason Shah,0.6
Neha Dhupia,0.84
Gurpreet Ghuggi,0.6
Snoop Dogg,4.306
Saeed Jaffrey,0.796
Upasna Singh,0.6
Shiney Ahuja,0.694
Gautami Kapoor,0.6
Jaspal Bhatti,0.694
Shruti Seth,1.4
Sanaya Irani,0.6
Hema Malini,0.6
Zohra Sehgal,0.6
Tom Alter,0.6
Vinod Negi,0.6
Balwant Bansal,0.6
Anup Kanwal Singh,0.6
Vicky Ahuja,0.6
Sanjay Singh Bhadli,0.6
Chandni Jas Keerat,0.6
Kulbir Badesron,0.6
Shivaya Singh,0.6
Banwarhlal Jhol,0.6
Syed Firdaus,0.6
Fardeen Khan,0.603
Esha Deol,0.98
Celina Jaitly,0.6
Sameera Reddy,0.6
Ileana D'Cruz,1.4
Esha Gupta,1.4
Arjan Bajwa,0.98
Usha Nadkarni,1.214
Indraneel Bhattacharya,0.6
Kanwaljit Singh,2.351
Gireesh Sahedev,0.6
Bhumi Pednekar,1.686
Sudhir Pandey,1.38
Shubha Khote,0.6
Sana Khaan,0.6
Ayesha Raza,0.6
Varun Sharma,0.6
Tahir Raj Bhasin,0.6
Naveen Polishetty,0.6
Saharsh Kumar Shukla,0.6
Tushar Pandey,0.6
Mohammad Samad,0.98
Nalneesh Neel,0.6
Saanand Verma,0.6
Ranjan Raj,2.228
Varun Dhawan,1.96
Vikas Verma,0.6
Jip Panosot,0.6
Nimrat Kaur,0.6
Feryna Wazheir,0.6
Lena,1.62
Purab Kohli,0.6
Ninad Kamat,0.6
Gunjan Malhotra,0.6
Nissar Khan,2.192
Pawan Chopra,0.98
Prakash Belawadi,0.6
Surendra Pal,1.052
Bachchan Pachera,0.6
Ritika Badiani,1.4
Darsheel Safary,0.6
Tanay Chheda,1.22
Sachet Engineer,0.6
Girija Oak,1.96
Bugs Bhargava,0.618
Lalita Lajmi,0.6
Ravi Khanvilkar,1.4
Meghna Malik,0.6
Nushrratt Bharuccha,0.6
Manjot Singh,0.6
Vijay Raaz,0.758
Nidhi Bisht,0.655
Raj Bhansali,0.6
Manoj Singh,0.6
Vedika Bhandari,0.6
Sukesh Anand,0.6
Basant Garg,0.6
Yash Yogen,0.6
Saurabh Nayyar,0.6
Gagan Gupta,0.6
Arihant,0.6
Jitender Gaur,0.6
Neha Saraf,0.6
Neela Mulherkar,0.6
Farhan Akhtar,1.174
Sonam Kapoor,1.225
Rebecca Breeds,2.019
Yograj Singh,0.98
Art Malik,3.213
Herry Tangiri,0.6
Dev Gill,1.38
Jass Bhatia,0.6
Alia Bhatt,2.493
Shweta Prasad,0.98
Gauahar Khan,1.38
Sahil Vaid,0.6
Shiv Darshan,1.4
Aakanksha Singh,0.98
Puneet Singh Ratn,0.6
Yash Sinha,0.6
Gaurav Pandey,0.6
Rituraj Singh,0.6
Kanupriya Pandit,0.6
Sukhmani Lamba,0.6
Lauren Gottlieb,1.473
Pooja Batra,1.052
Dharmesh Yelande,0.6
Punit Pathak,0.6
Raghav Juyal,1.614
Kapil Sharma,0.6
Prachi Shah,0.6
Karishma Tanna,0.6
Manjari Phadnis,0.6
Bruna Abdullah,0.6
Kainaat Arora,0.6
Sonalee Kulkarni,0.6
Sujata Sehgal,1.4
Roopa Ganguly,0.6
Rajkummar Rao,1.22
Flora Saini,1.838
Badri Chavan,0.6
Jaideep Ahlawat,1.014
Amruta Khanvilkar,0.6
Sanjay Suri,0.972
Emraan Hashmi,1.4
Anju Mahendru,0.6
Imran Hasnee,1.03
Shivani Tanksale,0.6
Lavin Gothi,0.98
Tania Zaetta,0.6
Ravi Baswani,0.98
Sidharth Malhotra,0.84
Aamna Shariff,0.6
Kamaal Rashid Khan,0.98
Rishina Kandhari,0.6
Prachi Desai,0.98
Praveena Deshpande,0.98
Anagha Joshi,0.6
Rumana Molla,0.6
Sidhaant Sachdev,0.6
Rinke Khanna,0.6
Pankaj Berry,0.728
Upen Patel,0.829
Shyam Mashalkar,0.6
Dolly Bindra,0.6
Puja Gupta,1.4
Apoorva Arora,0.6
Arjun Kapoor,0.6
Amrita Singh,1.4
Revathi,1.062
Ronit Roy,0.6
Shivkumar Subramaniam,0.989
Aru Krishansh Verma,0.648
Amit Bhargav,0.6
Achint Kaur,0.98
Bikramjeet Kanwarpal,1.094
Madhu Anand Chandhock,0.6
Sanjay M. Singh,0.6
Farid Amiri,0.6
Mehul Bhojak,0.6
Rohit Chopra,0.6
Sanjay Keni,0.6
Ajay Padhye,0.6
Mukesh Ahuja,1.38
Ashwin Kaushik,0.6
Bhupinder,0.6
Yusuf Hussein,0.6
Perizaad Zorabian,0.6
Arav Chowdhary,0.997
Seema Pahwa,0.6
Dheerendra Kumar,0.6
Sachin Chaudhary,0.6
Sunita Rajwar,0.608
Sonam Bajwa,0.84
