name,popularity
Chembil Ashokan,0.6
Rajesh Sharma,0.6
Vinitha Koshy,0.6
Shalu Rahim,0.728
Ann Sheetal,1.532
Kainakary Thankaraj,1.4
Swasika,0.98
Jayaram,0.6
Madhuri Braganza,0.98
Saikumar,1.129
Sheelu Abraham,0.6
Nandu Poduval,0.907
Aishwarya Lekshmi,0.6
Joseph Annamkutty Jose,1.38
Aileena Catherin Amon,0.6
Anish Kuruvilla,1.874
Austin Dan,0.6
Maya Menon,0.6
Sathi Premji,1.4
Shaheen Siddique,0.6
Viviya Santh,0.6
Punnaseri Kanchana,0.6
Shashikala Nedungadi,0.6
Harisanth Sharan,0.6
Gayathri Varsha,0.6
Veena Nandhakumar,0.6
Raveendran,0.6
C R Rajan,0.6
Santhosh Keezhattoor,1.4
Sivakumar Sopanam,0.6
Basil Paulose,0.6
Hakkim Shah,0.98
Siddharth Menon,0.6
Bhadra Sandeep,0.6
Mithuna Rajan,0.6
Prajwal Prasad,0.6
Shambu Menon,0.6
Arun Sunny,0.6
Zubin N,0.6
Chethan Jayalal,0.984
Kochu Preman,0.6
Nisthar Ahamed,0.98
Ramakrishnan Perumbavoor,1.38
Shobi Thilakan,0.6
Thomman Mankuva,0.85
Roshan Chandra,0.6
Sundhar Pandyan,0.6
Niranjana Anoop,0.776
Aparna Balamurali,0.6
Shaani Shaki,0.6
Jayan Cherthala,1.38
Subeesh Sudhi,0.6
Neena Kurup,0.6
Dinesh Prabhakar,0.6
Arshiya Gupta,0.6
Meghanathan,0.6
Tony Luke,0.6
Aditi Ravi,1.094
Krishna Shankar,0.6
Krittika Pradeep,0.6
Athmeeya Rajan,0.6
Malavika Menon,0.6
James Elia,0.6
Devika Sanjay,1.837
Anju Kurian,0.6
Meera Nair,0.6
Jayashankar,0.6
Remya Suresh,0.6
Aishwarya S. Menon,0.6
Veena Nair,0.6
Aparna Das,0.6
Manjusha Sajish,0.6
Munshi Dileep,0.6
Aniyappan,0.6
M G Sasi,0.6
Al Sabith,0.6
Sminu Sijo,0.6
Malavika Sivadas,0.6
Gowri Sivakumar,0.6
Roger Narayan,0.6
Ganesh Venkatraman,0.6
Sunny Wayne,0.625
Maniyanpilla Raju,1.4
Sanju Sivaram,0.652
Arun Benny,0.6
Jayaditya Kang,0.6
Lijomol Jose,0.6
Joy Mathew,0.6
Gayathri Krishna,0.6
Pandi,0.6
Sree Raam,0.6
Pandiarajan,0.6
Manobala,0.986
Semmalar Annam,0.62
Parthavi Vinod,0.6
Iniya,0.6
Prabhakar,0.6
Sudheer Karamana,1.4
Padmaraj Ratheesh,0.6
Ajith Kollam,0.6
Krishna Kumar,0.6
V. Suresh Thampanoor,0.6
Jennifer Antony,0.6
Kalasala Babu,1.024
Mandeep Rai,0.6
Santhakumari,0.6
Zahil Haris,0.6
Azeez,0.6
T S Raju,0.652
Balaji,0.6
Reston,0.6
Sasi Kalinga,0.6
Binu Adimali,0.6
Aalikkoya,0.6
Bindu Aneesh,0.6
Anupama,0.6
Nimar Shajahan,0.6
Nohadh Shajahan,0.6
Naman Shajahan,0.6
Najamudheen,0.6
Chembil Ashskan,0.6
Jayan Pisharod,0.6
Kidilan Firoz,0.6
Madhan Mohan,0.6
Harshitha J Pisharody,0.98
Hari Prashanth M. G.,0.6
Bitto Davis,1.105
Krishna Padmakumar,0.828
Arya K S,0.6
Kunjunju,0.6
Sshivada Nair,2.219
Alphy Panjikaran,1.291
R. K. Suresh,0.982
George,0.98
Anson Paul,0.6
Yoge Jappie,0.791
Kaniha,1.084
Maqbool Salmaan,0.6
I. M. Vijayan,0.6
Manju Warrier,0.6
Sana Althaf,0.6
Manoj Joshi,1.048
Narain,0.6
Kailash,0.6
Harith cnv,0.6
Sreejaya Nair,1.336
Manikanda Rajan,0.811
Amith Chakalakkal,0.6
Priyanka Thimmesh,1.788
M. S. Bhaskar,0.6
Nora Fatehi,0.6
Samuel Abiola Robinson,0.6
K T C Abdullah,0.6
Navas Vallikkunnu,0.6
Sidheek Kodiyathur,0.6
Ashraf Thangal,0.6
Ashraf Hamsa,0.6
Najeeb Kuttippuram,0.6
Hikmathulla,0.6
Unni Nair,0.6
Nasar Karutheni,0.6
Bharat Dabholkar,0.648
Thara Kalyan,0.6
Reina Maria,0.6
Karthika Muraleedharan,0.6
Chandini Sreedharan,0.6
V K Sreeraman,1.586
C. R. Omanakuttan,0.6
Mano Jose,0.6
Sumit Naval,1.79
Sal Yusuf,0.6
Julio Antonio Alonzo,0.6
Nathan Amir,0.6
Paul Nguyen Cuong,0.6
Mukesh,1.4
Aishwarya Rajesh,1.666
Anupama Parameswaran,1.489
Vinu Mohan,0.6
Rasna Pavithran,0.6
Indu Thampi,1.194
